field,value
report_generated_at,2026-03-20
data_version,v5.0
pilot_id,LPA-11
lpa_name,Peak District National Park Authority
lpa_type,National Park
cohort,Cohort 2
region,East Midlands
growth_context,Constrained designated
constraint_profile,National Park statutory purposes and housing affordability tension
data_quality_tier,C
coverage_score,68
total_linked_issues,5
high_severity_issues,2
primary_risk_stage,Pre-application
major_in_time_pct_provenance,official
appeals_overturned_pct_provenance,official
issue_incidence_provenance,estimated
data_quality_provenance,estimated
latest_trend_source_table,P151/P152
latest_trend_source_url,https://www.gov.uk/government/statistical-data-sets/live-tables-on-planning-application-statistics
