field,value
report_generated_at,2026-03-21
data_version,v6.0
pilot_id,LPA-03
lpa_name,South Cambridgeshire District Council
lpa_type,Non-metropolitan District
cohort,Cohort 1
region,East of England
growth_context,Growth corridor
constraint_profile,Green Belt flood risk and infrastructure sequencing
data_quality_tier,B
coverage_score,84
total_linked_issues,8
high_severity_issues,4
primary_risk_stage,Pre-application
major_in_time_pct_provenance,official
appeals_overturned_pct_provenance,official
issue_incidence_provenance,estimated
data_quality_provenance,estimated
latest_trend_source_table,P151/P152
latest_trend_source_url,https://www.gov.uk/government/statistical-data-sets/live-tables-on-planning-application-statistics
