field,value
report_generated_at,2026-03-21
data_version,v6.0
pilot_id,LPA-15
lpa_name,Cambridge City Council
lpa_type,Non-metropolitan District
cohort,Cohort 2
region,East of England
growth_context,High demand constrained
constraint_profile,Green Belt and heritage conservation area pressure
data_quality_tier,B
coverage_score,83
total_linked_issues,9
high_severity_issues,4
primary_risk_stage,Pre-application
major_in_time_pct_provenance,official
appeals_overturned_pct_provenance,official
issue_incidence_provenance,estimated
data_quality_provenance,estimated
latest_trend_source_table,P151/P152
latest_trend_source_url,https://www.gov.uk/government/statistical-data-sets/live-tables-on-planning-application-statistics
