field,value
report_generated_at,2026-03-23
data_version,v6.0
pilot_id,LPA-04
lpa_name,Cornwall Council
lpa_type,Unitary Authority
cohort,Cohort 1
peer_group,Mixed and dispersed authorities
region,South West
growth_context,Mixed growth dispersed
constraint_profile,Coastal change AONB and transport coverage constraints
data_quality_tier,B
coverage_score,80
total_linked_issues,7
high_severity_issues,3
primary_risk_stage,Consultation
major_in_time_pct_provenance,official
appeals_overturned_pct_provenance,official
issue_incidence_provenance,estimated
data_quality_provenance,estimated
validation_rework_proxy,13.6
delegated_ratio_proxy,88.9
plan_age_years,3.2
consultation_lag_proxy,4.8
backlog_pressure,42.6
analytical_confidence,medium
latest_trend_source_table,P151/P152
latest_trend_source_url,https://www.gov.uk/government/statistical-data-sets/live-tables-on-planning-application-statistics
