field,value
report_generated_at,2026-03-20
data_version,v6.0
pilot_id,LPA-05
lpa_name,Newham London Borough Council
lpa_type,London Borough
cohort,Cohort 1
region,London
growth_context,Very high urban growth
constraint_profile,Density viability and transport node pressure
data_quality_tier,A
coverage_score,88
total_linked_issues,8
high_severity_issues,3
primary_risk_stage,Legal Agreements
major_in_time_pct_provenance,official
appeals_overturned_pct_provenance,official
issue_incidence_provenance,estimated
data_quality_provenance,estimated
latest_trend_source_table,P151/P152
latest_trend_source_url,https://www.gov.uk/government/statistical-data-sets/live-tables-on-planning-application-statistics
